player_id,player_name,fargo_rating,rating_status,latest_handicap,handicap_starttime,handicap_tournament_id,games,wins,losses,component
1286181,Petri Makkonen,604.21,anchored,0.0,2025-07-05T08:00:00Z,59079793,194,102,92,1
1095734,William Viitanen,604.09,anchored,0.0,2020-01-30T19:15:00Z,7224607,32,11,21,1
3073760,Ronny Jakobsen,603.82,anchored,425.0,2025-07-28T16:00:00Z,64053550,84,57,27,1
1006290,Jan Ove Kvalsund Hansen,603.14,anchored,,,,40,22,18,1
1035589,Sebastian Mæhlum,601.71,anchored,534.0,2026-05-20T16:00:00Z,81474325,315,186,129,1
19663153,Katrine Salomonsen,601.4,anchored,,,,15,11,4,1
3212629,Rolf G. Sedsbøe Jensen,601.32,anchored,1.0,2026-01-31T10:00:00Z,72236716,523,299,224,1
1006160,Audun Risan Heimsjø,600.73,anchored,475.0,2024-09-11T16:00:00Z,47691649,18,11,7,1
2053862,Patrik Enbom,599.88,anchored,0.0,2024-02-23T17:00:00Z,40191154,5,2,3,1
1006233,Eystein Gangfløt,599.28,anchored,4.0,2024-12-27T11:00:00Z,52314610,24,11,13,1
2213742,Sebastian Trolle,598.15,anchored,,,,17,6,11,1
54046015,Cvetko Vega,597.96,anchored,350.0,2026-06-15T16:00:00Z,83685481,18,10,8,1
1537965,Lukas Andersson,597.36,anchored,0.0,2018-02-01T17:00:00Z,2103827,27,9,18,1
9990106,Jonas Nyman Trollhättans BK,597.12,anchored,2.0,2025-07-05T08:00:00Z,59079793,73,36,37,1
1006277,Ingolf Höns,597.04,anchored,2.0,2025-12-27T11:00:00Z,71848093,165,90,75,1
1967863,Nate Komljenovic,596.9,anchored,74.0,2022-06-15T16:00:00Z,16266742,272,170,102,1
70090471,Øyvind Risan,596.63,anchored,2.0,2026-07-04T08:00:00Z,79932562,83,44,39,1
1006431,Pål Daud Fillipsveen,596.55,anchored,573.0,2026-09-16T16:00:00Z,88468552,1531,887,644,1
6686119,Levi Pavdeja,596.02,anchored,529.0,2026-07-20T15:45:00Z,85126495,1346,730,616,1
1359835,Per Hagen,595.97,anchored,117.0,2020-08-19T16:00:00Z,8089125,538,296,242,1
1006345,Kjetil Aasane Fredriksen,595.58,anchored,2.0,2026-01-31T10:00:00Z,72236716,219,106,113,1
1006197,Daniel Salole,594.34,anchored,2.0,2025-12-27T11:00:00Z,71848093,62,34,28,1
25743094,Mohamed Salkiny,593.87,anchored,2.0,2026-07-04T08:00:00Z,79932562,803,444,359,1
1272012,Erol Dane Mula,592.64,anchored,543.0,2026-09-16T16:00:00Z,88468552,2297,1269,1028,1
4935966,Trond N. Larsen,592.19,anchored,450.0,2025-04-09T16:00:00Z,53307901,183,113,70,1
1960202,Ola Magnus Johnsen,592.05,anchored,562.0,2026-09-09T16:00:00Z,87717052,1188,668,520,1
20264908,Bartosz Oldakowski,592.01,anchored,1.0,2025-07-05T08:00:00Z,59079793,262,145,117,1
1417853,Robin Hauge Pettersen,591.79,anchored,538.0,2026-06-15T16:00:00Z,83685481,152,84,68,1
6100647,Konrad Juszczyszyn,591.69,anchored,0.0,2019-08-30T14:00:00Z,5976158,31,11,20,1
